entry_rule,sl,tp,hold_d,train_n,train_mean,train_median,train_win,train_pf,train_worst,test_n,test_mean,test_median,test_win,test_pf,test_worst
delay 24h,0.1,0.3,7,241,0.04112361651935975,-0.20328842465649727,0.3900414937759336,1.328341886818358,-0.37877826658820757,161,0.010039993809391693,-0.0193283126562464,0.45962732919254656,1.1186037584491144,-0.2304127879620578
delay 4h,0.2,0.5,7,241,0.041085951395522034,-0.1044533947576359,0.46473029045643155,1.2064768065804163,-0.5877151130642956,161,-0.00216361513512139,-0.011484663516068184,0.4658385093167702,0.9807202253540257,-0.4362284812395515
drop 30% (after 4h),,0.3,1,188,0.04094936424728554,0.11708198369895895,0.601063829787234,1.266401110373481,-1.0,24,-0.0852561914288501,-0.08156599241581233,0.375,0.5541684222497952,-1.0
drop 30% (after 1h),0.2,0.3,7,188,0.04080140195196074,-0.08947150733930685,0.48936170212765956,1.203480914181527,-0.5768283474288853,24,-0.09667762968542569,-0.4019345283644092,0.375,0.6015473099519357,-0.43556467763830775
drop 30% (after 4h),0.1,0.3,7,188,0.040732642094237916,-0.20598880887078905,0.3404255319148936,1.2915512686586232,-0.404477258839389,24,-0.08333019179208226,-0.20586563666335594,0.25,0.4581865044360143,-0.216290537926546
drop 10% (after 4h),0.15,0.5,7,227,0.04070256886302231,-0.30254873108154196,0.3876651982378855,1.21996497359294,-0.5479148693857494,104,0.016152139233508684,0.0005043485607253793,0.5,1.1347936680466821,-0.3354690324679483
drop 10% (after 4h),0.3,0.2,7,227,0.04060927980334299,0.3788730981097876,0.6387665198237885,1.2166521134769197,-0.7816917435956793,104,-0.008299897642298007,0.04787866750309215,0.5769230769230769,0.9447100860948686,-0.6362193324679486
delay 12h,0.3,0.5,1,241,0.040519300590926226,0.07165222247265511,0.6224066390041494,1.2972552919525562,-0.6832190851710421,161,-0.011321415174966137,-0.0008466858789623556,0.4968944099378882,0.8025926879459709,-0.6249578601339963
drop 30% (after 4h),0.3,0.1,7,188,0.04043435187679081,0.19809999999999983,0.8031914893617021,1.3551175313199268,-0.722997045416352,24,-0.11332354943887729,0.06025664575886017,0.5833333333333334,0.4621581018557232,-0.6360648776383081
delay 24h,0.1,,7,241,0.04032514301200148,-0.2044666385026738,0.35269709543568467,1.3027872061548242,-0.37877826658820757,161,0.007397433446111042,-0.0193283126562464,0.45962732919254656,1.0873868476657071,-0.2304127879620578
drop 10% (after 4h),0.3,0.3,1,227,0.040272913779801106,0.10779195130801698,0.5991189427312775,1.2681709313248257,-0.7816917435956793,104,-0.015263903189244228,-0.004779470329754069,0.47115384615384615,0.7880239792889694,-0.6362193324679486
